TIPO,LOG1,LOG2,LOG3
0,1724.6036,499.9749,31.527
0,1683.6508,504.5307,28.868
0,1674.3667,515.8403,28.1374
0,1728.7588,533.9412,28.1374
0,1748.0551,542.5466,29.5166
0,1769.4023,547.0044,32.5552
0,1817.2131,555.8409,35.0035
0,1848.7844,561.8255,35.6885
0,1866.4576,557.8439,36.1476
0,1878.6417,548.4941,36.4369
0,1916.0569,540.574,35.8578
0,1939.3333,538.3663,33.9615
0,1917.1431,535.864,32.06
0,1851.161,532.0379,31.4443
0,1751.6995,527.4301,31.4443
0,1646.0884,521.3196,31.638
0,1606.1366,519.9891,32.8575
0,1668.8169,519.7483,35.5677
0,1769.5801,511.444,37.7304
0,1811.8579,500.5434,38.1613
0,1807.0276,490.3331,38.1613
0,1826.7314,482.8861,37.1078
0,1845.2928,488.1839,34.2751
0,1869.4594,502.0243,31.0013
0,1892.5459,519.3456,28.029
0,1893.282,533.8058,26.5475
0,1853.0868,539.5108,26.5475
0,1787.766,541.2979,26.9837
0,1741.4293,530.3705,28.1879
0,1703.3878,514.0101,30.934
0,1660.6295,507.5422,37.0272
0,1714.0525,500.8553,38.8398
0,1797.0077,504.302,39.5129
0,1841.0376,507.8911,39.6461
0,1813.3601,506.344,40.0122
0,1744.6104,504.8118,39.4741
0,1781.683,507.6092,39.2081
0,1772.4512,522.7672,38.2875
0,1712.606,535.3231,35.3322
0,1566.1912,542.5995,31.7952
0,1467.9777,547.6204,31.7952
0,1512.6398,542.526,31.8855
0,1596.8076,538.3495,32.8353
0,1711.0792,542.0164,32.8353
0,1697.142,546.0346,32.7504
0,1624.6687,544.7009,30.6407
0,1565.2279,535.7307,27.8574
0,1583.6001,537.4774,27.8574
0,1561.6439,542.8662,27.8574
0,1570.9435,554.29,30.1194
0,1637.0643,572.7094,32.9441
0,1730.4943,569.7338,36.1863
0,1847.1132,553.9974,40.62
0,1950.7244,541.7411,43.0372
0,2016.2515,535.3116,47.2368
0,2055.5659,535.9872,52.3249
0,2067.8008,537.6545,58.1043
0,2069,532.3771,59.6006
0,2059.8308,528.3179,59.8584
0,2036.851,529.4157,59.8844
0,2020.7999,530.9739,59.7594
0,2004.624,528.6179,58.4088
0,2005.2942,524.4549,56.2864
0,1906.7734,518.0779,55.7497
0,1855.6899,512.1254,55.096
0,1849.2881,508.817,54.8584
0,1837.9519,507.6266,54.8486
0,1819.5311,510.1494,51.4384
0,1801.9861,513.943,49.7427
0,1787.6776,515.365,49.6734
0,1786.3285,516.7275,49.6734
0,1816.7162,517.9351,49.6734
0,1857.7339,518.8618,49.6734
0,1855.792,520.3522,48.058
0,1833.8237,522.3387,46.9516
0,1816.766,524.5756,46.9516
0,1806.1926,527.6467,47.8823
0,1802.9098,530.6801,48.6537
0,1784.9967,532.3804,48.6537
0,1747.4349,532.5726,47.6253
0,1710.2413,532.3852,45.2927
0,1678.6144,533.3554,43.9094
0,1654.53,535.9193,43.9094
0,1638.616,541.2863,43.9094
0,1617.4827,545.7107,43.9094
0,1589.96,545.0076,44.1076
0,1567.3257,543.7478,44.4049
0,1560.8182,543.2755,44.2218
0,1572.1019,543.1618,44.0821
0,1597.0724,542.6901,44.5585
1,1653.3395,541.6247,44.9879
1,1734.7249,540.4707,45.2824
1,1796.9791,539.5046,45.4835
1,1826.8241,538.7701,45.788
1,1822.0775,538.6486,45.6797
1,1813.9148,538.4886,45.361
1,1792.3358,538.0482,45.3762
1,1750.9341,537.0648,45.4281
1,1729.6917,535.1591,46.2563
1,1710.0332,531.2834,49.7085
1,1705.3715,526.9128,49.7085
1,1702.0272,521.8601,49.4771
1,1697.7874,517.4853,47.4467
1,1688.6731,514.3545,42.6552
1,1661.4917,515.5416,42.042
1,1604.6718,522.9465,40.5744
1,1513.6163,530.5419,36.2459
1,1401.5474,536.8113,36.2043
1,1357.9902,539.4284,35.286
1,1366.5531,542.9243,33.2073
1,1377.8,546.4813,33.2073
1,1476.6538,638.7025,46.6893
1,1473.3099,628.0219,46.6123
1,1480.3689,619.0927,46.1076
1,1493.3441,614.0573,43.4479
1,1497.6276,608.1479,40.6256
1,1485.5543,599.9487,38.634
1,1464.3105,588.8572,36.5629
1,1432.9802,574.5835,34.122
1,1412.026,560.2097,32.631
1,1400.3967,552.3466,31.594
1,1385.6593,551.3671,29.2238
1,1384.051,551.7663,27.3018
1,1385.6432,554.2612,26.9107
1,1381.5557,559.0251,27.024
1,1377.8987,566.6435,27.1847
1,1371.5247,575.3806,27.2289
1,1366.6829,582.7337,27.2989
1,1364.0751,589.3471,27.2585
1,1362.9001,595.9177,26.8384
1,1363.3394,605.7309,26.0324
1,1359.4899,613.3954,25.7914
1,1356.1167,620.245,25.8931
1,1359.8416,628.2605,26.5032
1,1366.0645,636.4969,27.5604
1,1368.6478,644.6525,28.0546
1,1365.4935,650.912,28.5739
1,1361.4441,654.8201,28.4435
1,1364.1454,658.8716,28.4761
1,1363.7603,661.7375,28.6492
1,1364.8719,664.4034,28.7648
1,1364.7134,664.3262,28.4996
1,1368.2704,664.2706,28.8718
1,1372.3359,664.7061,29.2428
1,1374.7007,664.9896,29.683
1,1391.3723,665.1495,29.683
1,1437.9331,665.168,29.6049
1,1434.6736,664.8417,28.512
1,1414.879,662.8668,28.512
1,1387.933,658.2914,28.5227
1,1368.6006,649.9196,29.2988
1,1371.6,650.0479,29.315
1,1369.0344,651.9104,29.315
1,1360.9752,652.355,29.2993
1,1363.9417,651.2064,28.8513
1,1364.8468,648.3636,27.4147
1,1361.8633,646.6877,27.1596
1,1365.6807,647.8557,27.1243
1,1372.0408,647.0629,27.1221
1,1375.7698,644.1846,27.1221
1,1374.749,644.2639,27.4
1,1376.3483,646.863,28.4526
1,1380.0074,651.0427,29.246
1,1374.327,652.744,29.8222
1,1368.6747,650.3576,29.9301
1,1367.2906,647.9235,30.4249
1,1371.9888,646.3439,30.5806
1,1363.6436,645.0198,30.5733
1,1358.1198,642.8506,29.9558
1,1361.723,640.4521,29.3143
1,1363.1532,637.7502,27.9997
1,1361.8438,635.7714,27.4919
1,1366.5005,633.9479,27.4919
1,1384.1703,632.3694,27.8385
1,1403.802,631.0423,28.7089
1,1401.5667,629.7376,29.5294
1,1385.8566,626.4619,30.3483
1,1382.738,624.6281,31.1092
1,1409.8918,625.5388,31.9244
1,1428.5892,627.597,32.3355
1,1419.111,628.2007,32.3355
1,1403.9287,626.6483,31.5803
1,1391.0127,623.3897,30.3147
1,1372.7278,619.5447,29.4903
1,1358.774,619.5605,28.4785
1,1357.0732,623.9033,26.844
1,1361.7729,627.7928,25.681
1,1367.6732,628.5483,25.3702
1,1363.2769,624.7899,25.2372
1,1357.7394,622.1016,25.3285
1,1357.9495,627.0954,25.6986
1,1357.8398,633.344,26.8926
1,1360.147,638.4067,28.3304
1,1364.5564,641.3868,28.3304
1,1362.1687,643.1409,27.9295
1,1363.4799,645.3836,27.0514
1,1366.968,650.3696,27.0514
1,1367.8268,655.1514,27.3968
2,2147.4365,529.7335,69.505
2,2164.2327,528.1129,69.7549
2,2170.6572,519.4837,72.5158
2,2165.9512,512.2427,74.1217
2,2137.0732,515.5532,74.1261
2,2141.2241,517.9475,74.2312
2,2142.1138,521.1456,74.2312
2,2144.2002,519.4823,74.2312
2,2155.2275,512.2355,77.031
2,2150.9192,507.3442,78.4515
2,2135.3418,507.8511,78.4896
2,2114.6216,511.0013,80.0716
2,2096.8181,512.8579,80.16
2,2082.6218,515.4411,80.16
2,2078.4504,512.7922,80.16
2,2059.4443,500.2435,80.16
2,2063.4885,499.7514,78.3616
2,2068.0559,503.6032,78.0855
2,2080.5374,511.3797,78.0855
2,2103.8906,522.5933,78.26
2,2121.4238,525.9822,78.3
2,2115.1592,526.3757,78.3
2,2113.9038,527.7363,75.9984
2,2107.293,532.9735,74.2579
2,2086.8113,538.1593,71.1614
2,2060.4692,540.0221,66.9648
2,2055.2036,539.9185,64.2451
2,2040.6798,536.5298,63.6325
2,2025.6501,532.1286,63.6325
2,2035.5265,528.9669,63.6325
2,2065.9663,527.0112,63.6325
2,2115.2905,526.0759,63.3353
2,2135.5046,523.6533,62.8628
2,2129.8513,518.8525,62.5394
2,2118.5142,517.1823,60.9362
2,2101.4636,517.5887,58.4818
2,2085.4207,527.755,57.4384
2,2066.9189,540.5661,57.4384
2,2035.9818,542.7449,57.8528
2,2002.7349,538.5045,60.8195
2,2010.223,528.0181,65.8489
2,2055.9675,512.1783,68.4372
2,2088.1047,499.8944,68.4372
2,2103.385,493.2505,66.5514
2,2118.5605,493.9588,62.7227
2,2123.2354,502.2801,60.0339
2,2110.2693,509.9099,57.6727
2,2098.2625,516.8215,53.1428
2,2066.1726,522.2134,47.6445
2,2015.3667,518.0273,45.6684
2,1975.295,515.7082,45.6168
2,1925.7228,517.8344,45.6168
2,1949.7198,517.2207,46.5157
2,2008.5356,515.0124,49.0248
2,2002.6738,508.0296,49.7512
2,1984.9958,494.8567,49.8235
2,1976.8796,493.6408,50.1709
2,1946.7881,497.2517,50.8366
2,1867.907,505.5183,52.7676
2,1882.3469,517.5624,57.3584
2,1939.8719,516.33,60.908
2,1987.7468,512.3387,62.3056
2,2010.8981,505.3396,68.2345
2,2074.6765,494.8706,69.9176
2,2095.446,501.3823,71.4237
2,2101.8923,524.3492,71.2875
2,2103.7397,538.3187,69.7083
2,2098.3958,546.8873,69.473
2,2092.6086,559.3565,69.3615
2,2104.468,546.1841,69.239
2,2116.803,536.0107,69.3658
2,2123.8,521.1532,69.4783
2,2122.6162,517.3525,68.2081
2,2109.4536,516.1852,68.1908
2,2087.9253,515.1686,67.879
2,2078.3137,517.7326,62.5845
2,2009.7872,518.2378,60.4693
2,2005.895,518.6986,55.7823
2,1970.4465,520.3807,55.3163
2,1981.192,520.306,55.3163
2,1987.4969,517.5151,55.7214
2,1997.4404,514.9379,55.7909
2,2008.7896,512.3578,55.7909
2,2024.6763,508.7962,51.9969
2,1986.3334,508.4004,51.0881
2,1979.0576,516.9037,51.0881
2,2028.6057,527.9915,52.8689
2,2054.5754,539.8366,55.5518
2,2039.5884,547.3654,56.6038
2,2008.1992,540.8092,56.9471
2,1967.8792,525.2885,57.7242
2,1969.0221,512.8518,58.5435
2,1991.2365,514.0494,59.2395
2,2032.99,517.5686,59.4663
2,2075.9976,521.5784,59.4663
2,2124.7632,517.4154,59.4663
2,2134.5334,507.2025,60.252
3,2070.7673,505.4036,80.3772
3,2087.6602,506.5468,77.3566
3,2113.9856,507.8755,76.9962
3,2151.8052,508.3333,76.9962
3,2162.2664,507.1712,76.6345
3,2147.7024,504.3581,76.925
3,2137.8464,502.9948,77.979
3,2131.4189,502.298,79.9154
3,2130.5149,504.1723,80.7742
3,2122.2419,504.5945,84.9631
3,2101.5415,504.2004,89.3266
3,2109.9771,505.5126,91.6605
3,2128.7434,503.8406,92.7201
3,2128.5586,500.9798,93.043
3,2128.4297,499.5976,94.6468
3,2140.981,497.882,96.1419
3,2139.0208,495.2735,98.135
3,2124.2444,495.797,101.9115
3,2130.6133,498.7867,103.9226
3,2145.8889,501.9073,104.1426
3,2142.8682,507.1095,104.1426
3,2138.218,511.5828,104.1426
3,2127.4194,513.1605,104.1426
3,2112.6587,514.762,104.6842
3,2103.1074,514.8785,105.8711
3,2081.9597,512.9478,108.3993
3,2034.7126,511.0177,110.233
3,1985.887,508.3801,110.3428
3,1932.942,502.6035,110.8546
3,1869.8173,497.2565,111.3879
3,1825.532,493.7104,111.4768
3,1782.792,488.8516,112.2473
3,1742.7783,486.9285,116.6995
3,1719.9215,488.2083,122.3098
3,1703.4033,492.749,122.8241
3,1709.0496,500.9091,122.8241
3,1726.7404,509.2349,122.386
3,1747.4913,513.9171,121.4027
3,1757.3848,511.523,121.1731
3,1762.4548,506.7134,121.27
3,1760.2526,500.9752,121.5109
3,1756.1498,495.6731,121.4253
3,1751.8285,493.6658,120.4844
3,1757.3069,494.7111,118.3049
3,1765.1025,496.476,118.3049
3,1772.0946,499.6677,118.4966
3,1785.9243,504.5663,119.6064
3,1811.9601,506.0624,121.1872
3,1810.0979,508.5654,121.707
3,1808.7898,511.851,121.7437
3,1823.5254,512.5677,121.997
3,1821.4327,511.723,122.5633
3,1831.0554,510.3861,128.1391
3,1848.6597,508.0339,129.1773
3,1845.0472,506.0756,129.1773
3,1839.4297,508.8546,129.1773
3,1825.8594,510.3715,129.1773
3,1830.1001,515.6201,129.1773
3,1840.4,518.288,126.6367
3,1847.4075,517.8856,126.6367
3,1862.0962,516.1528,126.6367
3,1866.9867,514.4975,124.8023
3,1870.6545,512.3529,123.569
3,1865.7466,511.8126,123.4877
3,1855.3253,514.2413,124.5989
3,1852.1725,515.9777,124.7131
3,1853.9963,516.817,124.7154
3,1851.5688,516.0769,124.7157
3,1854.4604,514.5338,124.0904
3,1806.5536,513.5753,123.7848
3,1820.7639,513.5379,123.7458
3,1821.0466,513.7229,123.7458
3,1781.0693,513.8766,125.4508
3,1705.5828,490.5145,127.0173
3,1676.0391,483.1253,127.3546
3,1699.7844,483.1253,126.3336
3,1766.4163,483.1253,125.7139
3,1797.5612,483.1253,124.8021
3,1789.6002,483.1253,123.9256
3,1800.1666,483.1253,123.6833
3,1781.2256,483.1253,123.2709
3,1754.8447,483.1253,122.6277
3,1774.9213,483.1253,121.3845
3,1786.6394,483.1253,118.6326
3,1771.8729,483.1253,116.0366
3,1757.156,483.1253,114.8803
3,2081.1206,483.1253,72.5313
3,2338.5029,483.1253,38.5969
3,2340.2378,483.1253,38.5969
3,2346.6292,483.1253,41.1213
3,2300.7244,483.1253,46.1453
3,2166.1978,483.1253,52.6161
3,2003.2294,483.1253,56.8862
3,1899.8691,483.1253,57.1702
3,1872.0021,483.1253,57.2241
3,1882.5652,483.1253,56.9131
3,1892.0934,483.1253,57.0158
3,1890.3462,483.1253,56.9559
3,1876.7867,483.1253,56.2418
